model_id,task_id,passed,latency_seconds,exit_code,error
gpt-5.5-foundry,cart_discount,True,4.491,0,
gpt-5.5-foundry,html_accessible_form,True,5.019,0,
gpt-5.5-foundry,interval_merge,True,4.741,0,
gpt-5.5-foundry,json_patch,True,9.321,0,
gpt-5.5-foundry,log_redaction,True,8.554,0,
gpt-5.5-foundry,markdown_toc,True,8.174,0,
gpt-5.5-foundry,package_stats,True,6.802,0,
gpt-5.5-foundry,py_slugify,True,6.572,0,
gpt-5.5-foundry,rate_limiter,True,7.245,0,
gpt-5.5-foundry,sql_builder,True,10.331,0,
kimi-k2.6-foundry,cart_discount,True,14.019,0,
kimi-k2.6-foundry,html_accessible_form,True,23.842,0,
kimi-k2.6-foundry,interval_merge,True,7.906,0,
kimi-k2.6-foundry,json_patch,False,29.548,-1,Expecting value: line 1 column 1 (char 0)
kimi-k2.6-foundry,log_redaction,False,41.533,-1,Unterminated string starting at: line 1 column 25 (char 24)
kimi-k2.6-foundry,markdown_toc,True,29.617,0,
kimi-k2.6-foundry,package_stats,True,33.283,0,
kimi-k2.6-foundry,py_slugify,True,27.388,0,
kimi-k2.6-foundry,rate_limiter,True,19.966,0,
kimi-k2.6-foundry,sql_builder,True,19.171,0,
grok-4.3-foundry,cart_discount,True,8.12,0,
grok-4.3-foundry,html_accessible_form,True,7.742,0,
grok-4.3-foundry,interval_merge,True,13.559,0,
grok-4.3-foundry,json_patch,True,21.262,0,
grok-4.3-foundry,log_redaction,True,13.218,0,
grok-4.3-foundry,markdown_toc,True,17.782,0,
grok-4.3-foundry,package_stats,True,17.326,0,
grok-4.3-foundry,py_slugify,True,21.538,0,
grok-4.3-foundry,rate_limiter,True,33.422,0,
grok-4.3-foundry,sql_builder,True,30.135,0,
minimax-m2.5-foundry,cart_discount,True,9.029,0,
minimax-m2.5-foundry,html_accessible_form,True,44.779,0,
minimax-m2.5-foundry,interval_merge,True,9.194,0,
minimax-m2.5-foundry,json_patch,True,12.096,0,
minimax-m2.5-foundry,log_redaction,False,9.846,1,
minimax-m2.5-foundry,markdown_toc,False,63.518,1,
minimax-m2.5-foundry,package_stats,True,13.953,0,
minimax-m2.5-foundry,py_slugify,True,7.575,0,
minimax-m2.5-foundry,rate_limiter,False,63.846,1,
minimax-m2.5-foundry,sql_builder,False,32.697,-1,Extra data: line 1 column 35 (char 34)
glm-5.1-foundry,cart_discount,True,9.632,0,
glm-5.1-foundry,html_accessible_form,True,5.002,0,
glm-5.1-foundry,interval_merge,True,5.735,0,
glm-5.1-foundry,json_patch,True,36.503,0,
glm-5.1-foundry,log_redaction,False,21.126,1,
glm-5.1-foundry,markdown_toc,False,21.705,1,
glm-5.1-foundry,package_stats,True,31.964,0,
glm-5.1-foundry,py_slugify,True,13.951,0,
glm-5.1-foundry,rate_limiter,True,6.365,0,
glm-5.1-foundry,sql_builder,True,20.899,0,
claude-opus-4.8-adb,cart_discount,True,5.654,0,
claude-opus-4.8-adb,html_accessible_form,True,5.541,0,
claude-opus-4.8-adb,interval_merge,True,5.295,0,
claude-opus-4.8-adb,json_patch,True,8.938,0,
claude-opus-4.8-adb,log_redaction,True,10.191,0,
claude-opus-4.8-adb,markdown_toc,True,6.721,0,
claude-opus-4.8-adb,package_stats,True,8.523,0,
claude-opus-4.8-adb,py_slugify,True,5.972,0,
claude-opus-4.8-adb,rate_limiter,True,5.486,0,
claude-opus-4.8-adb,sql_builder,True,6.651,0,
